epoch,avg_va_loss,tr_r0,tr_r1,tr_r2,tr_r3,va_r0,va_r1,va_r2,va_r3,acc_r0,acc_r1,acc_r2,acc_r3
1,0.9093874638157327,0.3665316212292576,2.4654965835990326,0.5782121638456981,1.4788696021232706,0.37405361822157196,1.8427899850381386,0.2703099151452382,1.1134387850761414,0.8874851013110846,0.6541385135135135,0.9878938906120531,0.7938530734632684
2,0.8573937451979062,0.3220881170290072,1.6700306435426076,0.09341944861743186,1.0343639318711488,0.39284598420966754,1.7021729140668302,0.04112554465730985,1.035444818791889,0.8626936829558999,0.6321790540540541,0.9928030245231859,0.8065967016491754
3,0.8378094499982964,0.31870479010753616,1.504014158971382,0.0388030252729853,1.0020377822122548,0.3814809945496646,1.6655034052359092,0.03907229875524839,1.0156935992695035,0.8707985697258641,0.6541385135135135,0.9928030245231859,0.8125937031484258
4,0.8291534237945632,0.3161288089517589,1.468946011499925,0.03736583259370592,0.9845498952027069,0.3824501918120818,1.6390021459476367,0.03897139988839626,1.0058987197421847,0.8841477949940405,0.676097972972973,0.9928030245231859,0.8185907046476761
5,0.8462227864617369,0.31398796358461434,1.4553531164472753,0.03694131972475184,0.9755394083308423,0.39235781133174896,1.6756093050982501,0.03851934584478537,1.0155774496850514,0.8622169249106079,0.6537162162162162,0.9928030245231859,0.8110944527736131
6,0.8471193972189576,0.31158006240130476,1.4423799151724035,0.03668030212736792,0.9653398117681188,0.4059589080738299,1.649492911390356,0.03820603837569555,1.0238952665101915,0.8479141835518474,0.6625844594594594,0.9928030245231859,0.8073463268365817
7,0.8395162483910825,0.3098570031088074,1.440188476894841,0.036176103001667397,0.9564499693905587,0.38358616241903015,1.67300761712564,0.03780996613204479,1.006801758493696,0.8774731823599523,0.653293918918919,0.9928030245231859,0.8125937031484258
8,0.8581187429687701,0.30846155706175843,1.4327434090050783,0.036033347621560095,0.9511817053859941,0.42242469028993085,1.6633088653152053,0.03768890847762426,1.015632830914997,0.8421930870083433,0.6587837837837838,0.9928030245231859,0.8170914542728636
9,0.8483083806411331,0.3077344645137442,1.423868890242143,0.03544158461607165,0.9443356361914808,0.4070983930970683,1.658729888297416,0.037660421803593636,1.0116942212695168,0.8433849821215733,0.6587837837837838,0.9928030245231859,0.8140929535232384
10,0.851035752588247,0.3056120859965043,1.4195581018924712,0.03530037465194861,0.9387590001261453,0.41377741369334137,1.6539579887647886,0.03716107892493407,1.015832387265705,0.8429082240762813,0.6570945945945946,0.9928030245231859,0.8118440779610195
