epoch,tr_loss,va_loss,val_acc
1,1.4944828463977404,1.101698909487043,0.7938530734632684
2,1.056949974983696,1.0957456429799397,0.7938530734632684
3,1.0198359174991216,1.084910316126687,0.7893553223388305
4,1.0094305851015206,1.0682817356927055,0.7923538230884558
5,0.9965985231199289,1.0647130693708147,0.7728635682158921
6,0.9893835703219016,1.0419048922402518,0.8050974512743628
7,0.9791128881021435,1.0567680909520103,0.7728635682158921
8,0.970101795327945,1.0375877959387643,0.8095952023988006
9,0.9641835373530551,1.0308855090822493,0.8065967016491754
10,0.9602248308852589,1.040796200434367,0.8020989505247377
11,0.9520157904136838,1.022200658207848,0.8170914542728636
12,0.9482974580579543,1.0210869425819034,0.8118440779610195
13,0.9438331214774625,1.03054126955214,0.8058470764617691
14,0.93986578219206,1.0324121458189828,0.802848575712144
15,0.9379438285439659,1.043257923353286,0.8013493253373314
16,0.9354329107627468,1.033309822990781,0.8043478260869565
17,0.9322489490659218,1.0282447508403234,0.8103448275862069
18,0.9302957325469791,1.0307239577883767,0.8110944527736131
