epoch,tr_loss,va_loss,val_acc
1,0.5810883094867071,0.23987705260515213,0.9928030245231859
2,0.07708374042477872,0.039668828869859375,0.9928030245231859
3,0.03793083472798268,0.03891767064730326,0.9928030245231859
4,0.03737750051336156,0.03869315857688586,0.9928030245231859
5,0.03699136788232459,0.03863574502368768,0.9928030245231859
6,0.037027909855047864,0.03846102021634579,0.9928030245231859
7,0.036676637704173724,0.0380796076109012,0.9928030245231859
8,0.03664560628434022,0.0379700381308794,0.9928030245231859
9,0.03629120635903544,0.037657925859093666,0.9928030245231859
10,0.03606253473295106,0.0376152570048968,0.9928030245231859
11,0.03575158259934849,0.03737255185842514,0.9928030245231859
12,0.03542919068907698,0.03701835125684738,0.9928030245231859
13,0.03559960497336255,0.03687553480267525,0.9928030245231859
14,0.03524063523444865,0.036778065065542855,0.9928030245231859
15,0.03513764809403155,0.036584477250774704,0.9928030245231859
16,0.03495090949452585,0.036359867081046104,0.9928030245231859
17,0.034870312673350175,0.036355214193463326,0.9928030245231859
18,0.0348007216428717,0.036304990450541176,0.9928030245231859
19,0.03466130882087681,0.03628392828007539,0.9928030245231859
20,0.034966402873396876,0.036287923653920494,0.9928030245231859
